weight_set,A,B,C,D,E,mean
A,0.9793575633440395,0.9352438903659733,0.9226709526337592,0.970343665501672,0.9539849522990606,0.9523202048289008
B,0.9776482204856594,0.9322938896820434,0.935921410702645,0.9564046605799732,0.9613632205124331,0.9527262803925508
C,0.9685478704101236,0.9337749903267081,0.935921410702645,0.9564046605799732,0.9613632205124331,0.9512024305063764
D,0.9776482204856594,0.9352438903659733,0.9226709526337592,0.970343665501672,0.9750225133367181,0.9561858484647564
E,0.9776482204856594,0.9352438903659733,0.9226709526337592,0.970343665501672,0.9621921485722321,0.9536197755118592
SINGLE,0.9793575633440395,0.9367249910106381,0.9226709526337592,0.9564046605799732,0.9613632205124331,0.9513042776161684
