weight_set,A,B,C,D,E,mean
A,0.9421051879946243,0.8761918416666775,0.8347989798401478,0.9043056389168813,0.9191383092916287,0.895307991541992
B,0.940224247771096,0.872784230694333,0.8514888385786928,0.8884781626707792,0.9284243262711304,0.8962799611972063
C,0.930210332527969,0.8744950827749444,0.8514888385786928,0.8884781626707792,0.9284243262711304,0.8946193485647032
D,0.940224247771096,0.8761918416666775,0.8347989798401478,0.9043056389168813,0.9440349769644122,0.8999111370318429
E,0.940224247771096,0.8761918416666775,0.8347989798401478,0.9043056389168813,0.9294478170481341,0.8969937050485873
SINGLE,0.9421051879946243,0.8779026937472889,0.8347989798401478,0.8884781626707792,0.9284243262711304,0.894341870104794
