,A,B,C,D,E,mean
S09 (e5-small+overlap),0.9975359757219048,0.9386333601070076,0.9643408152752396,0.9332295030118828,0.994024988345276,0.9655529284922622
S11 (KURE-v1 (한국어 SOTA)),0.962428645267113,0.9172310216611652,0.8988734450748499,0.939326501019082,0.936962749726141,0.9309644725496703
S12 (Qwen3-Embedding-0.6B),0.9577882257577659,0.9025619076963338,0.9051131662633564,0.9608564749454022,0.94320521167194,0.9339049972669597
S13 (BGE-M3 dense),0.9608949001056898,0.9189549149280172,0.8975007365757428,0.9425141321928912,0.9383501367455767,0.9316429641095836
S15 (ko-sroberta-multitask),0.9552780189747399,0.8997562989405159,0.9041205636407931,0.9465843839560625,0.9430871855597708,0.9297652902143764
