,A,B,C,D,E,mean
S09 (e5-small+overlap),0.99759814815742,0.8927469240104522,0.9075284321614708,0.8427938555647547,0.9854700615369344,0.9252274842862064
S11 (KURE-v1 (한국어 SOTA)),0.9151636009500888,0.8433692437382622,0.7383720828696727,0.840838520694858,0.8718562825620658,0.8419199461629896
S12 (Qwen3-Embedding-0.6B),0.9123351731857887,0.804989369006984,0.7622052029641254,0.8653062779458425,0.8753742162944619,0.8440420478794406
