,arbitrary,golden,learned
A,0.994590425525327,0.9996623901312476,1.0
B,0.9324304165969356,0.9982208982338294,0.9914305510864105
C,0.7847804405530782,0.9971139150021179,0.9946233261543647
D,0.9719350749730818,1.0,1.0
E,0.9970082777827489,0.9970082777827489,0.9933290301325791
MEAN,0.9361489270862343,0.9984010962299887,0.9958765814746708
